"species_latin","species","name","early ripens","late ripens","origin_year","City 1","County 1","State 1","country","uses"
"Malus domestica","Apple","Harrison","Early November","Early November",1976,,"Essex County","NJ","United States","y"
"Malus domestica","Apple","Hayes Green","August","September",,"Robbinsville",,"NC","United States",
"Malus domestica","Apple","Haywood June","July","July",1877,,"Haywood County",,"United States","p"
"Malus domestica","Apple","Henry Clay","June","July",1890,,"Hopkins County","KY","United States","f"
"Malus domestica","Apple","Hewe's Crab","September","October",1717,,,"VA","United States","y"
"Malus domestica","Apple","Hickman","October","October",1916,"Hickman",,"KY","United States","fs"
"Malus domestica","Apple","Hightop Sweet","early August","early August","mid 1600s","Plymouth Colony",,"MA","United States","p"
"Malus domestica","Apple","Hillside","October","October",2002,"Hays",,"NC","United States",
"Malus domestica","Apple","Hog Island Sweet","September","October",1836,"Hog Island",,"NY","United States","f"
"Malus domestica","Apple","Hog Sweet","late July","late July",,,,,"United States",
"Malus domestica","Apple","Holland Pippin","July","September",,,,,"United States","p"
"Malus domestica","Apple","Hollow Log","late June","August","1920s","Conover",,"NC","United States","fp"
"Malus domestica","Apple","Holly","August","September",1952,,"Columbus","OH","United States","f"
"Malus domestica","Apple","Honey Sweet","August","September","1960s",,,"VA","United States","fy"
"Malus domestica","Apple","Hoover","September","October",1856,"Edisto",,"SC","United States","fp"
"Malus domestica","Apple","Horse","late July","August",1763,"Williamsburg",,"VA","United States","yp"
"Malus domestica","Apple","Hubbardston Nonsuch","September","September","before 1800","Hubbardston",,"MA","United States","f"
"Malus domestica","Apple","Huffman Red","August","September",1992,"Kimesville",,"NC","United States","f"
"Malus domestica","Apple","Hunge","August","September",1940,"Newton Grove",,"NC","United States","fp"
"Malus domestica","Apple","Huntsman's Favorite","September","September",1850,"Fayette",,"MO","United States","f"
"Malus domestica","Apple","Ingram","October","October",1855,"Springfield",,"MO","United States","fsy"
"Malus domestica","Apple","Isam","August","September","1800s","Richfield",,"NC","United States",
"Malus domestica","Apple","Jake's Seedling","late July","August",,,"Russell County","KY","United States","f"
"Malus domestica","Apple","Jarrett","late September","late September",,,"Watauga County","NC","United States",
"Malus domestica","Apple","Jefferis","August","August",1848,,"Chester County","PA","United States","f"
"Malus domestica","Apple","Jim Day","late June","August",1915,"Kosciusko",,"MI","United States","f"
"Malus domestica","Apple","Jimbo","September","October","before 1900",,"Carter County","TN","United States","p"
"Malus domestica","Apple","Joe Little","July","August",1995,"Maysville",,"WV","United States",
"Malus domestica","Apple","John Apple","August","September",,"Low gap",,"NC","United States","p"
"Malus domestica","Apple","John Conner","August","September","late 1800s",,"Wilkes County","NC","United States",
"Malus domestica","Apple","Johnny No Core","September","September",,,"Ashe County","NC","United States",
"Malus domestica","Apple","Johnson Keeper","October","October",,,"Wilkes County","NC","United States",
"Malus domestica","Apple","Jonalicious","September","September",1933,"Abilene",,"TX","United States",
"Malus domestica","Apple","Jonathan","September","October",1826,"Woodstock",,"NY","United States","f"
"Malus domestica","Apple","Juicy Fruit","October","October",,"Roan Mountain",,"TN","United States","f"
"Malus domestica","Apple","July Delicious","July","August","1930s","Baileyton",,"AL","United States",
"Malus domestica","Apple","July-August Go-No-Further","late August","September",1994,,,"WV","United States",
"Malus domestica","Apple","Junaluska","October","October",2001,,"Macon County","NC","United States",
"Malus domestica","Apple","June Sweeting","July","July",1988,"Bath",,"NC","United States",
"Malus domestica","Apple","Kane","August","September",1853,,"Kent County","DE","United States","f"
"Malus domestica","Apple","Keener Seedling","late October","late October",1890,,"Lincoln County","NC","United States","fsp"
"Malus domestica","Apple","Kennedy","July","July",1858,,,"GA","United States",
"Malus domestica","Apple","Kimrome","September","September","1970s",,,"GA","United States","f"
"Malus domestica","Apple","King David","August","September",1893,"Durham",,"AR","United States","fsyp"
"Malus domestica","Apple","King Luscious","September","October",1935,"Hendersonville",,"NC","United States",
"Malus domestica","Apple","King Solomon","August","September",1870,"Fairview",,"KY","United States",
"Malus domestica","Apple","King Tom","August","August",1853,,,"NC","United States",
"Malus domestica","Apple","Kinnaird's Choice","September","October",1855,"Franklin",,"TN","United States","f"
"Malus domestica","Apple","Lacy","late August","September",1858,,"Union County","NC","United States","fp"
"Malus domestica","Apple","Lady","late August","September","1600s",,,,"France","fs"
"Malus domestica","Apple","Lady Skin","late September","late September",,"Canton",,"NC","United States",
"Malus domestica","Apple","Lady Sweet","August","September",1845,"Newburgh",,"NY","United States","fs"
"Malus domestica","Apple","Langdon","Late July","September",1896,,"Greene County","TN","United States",
"Malus domestica","Apple","Lawson's Seedling","late September","October",1995,"Lawsonville",,"NC","United States",
"Malus domestica","Apple","Lawver","September","October",1865,,,"IL","United States","sp"
"Malus domestica","Apple","Leather Coat","September","October",,,"Wilkes County","NC","United States",
"Malus domestica","Apple","Levering Limbertwig",,,,"Ararat",,"VA","United States",
"Malus domestica","Apple","Lewis Green","August","September",1877,,"Watauga County","NC","United States",
"Malus domestica","Apple","Little Benny","August","August",1995,"Grantsboro",,"NC","United States","p"
"Malus domestica","Apple","Liveland Raspberry","July","July",1883,,,,"Lithuania","f"
"Malus domestica","Apple","Longfield","August","September",1883,,,,"Russian Federation",
"Malus domestica","Apple","Long Stem","July","July",1867,,"Rockingham County","VA","United States","f"
"Malus domestica","Apple","Lonnie's Summer Giant","July","August",1996,"Dunnville",,"KY","United States",
"Malus domestica","Apple","Lowell","August","October",1858,,,,"United States","fp"
"Malus domestica","Apple","Lowry","September","October",1850,"Afton",,"VA","United States","fs"
"Malus domestica","Apple","Lugar Red","September","September",,,"Craig County","VA","United States",
"Malus domestica","Apple","Magnum Bonum","September","September",1828,,"Davidson County","NC","United States","f"
"Malus domestica","Apple","Maiden's Blush","July","August",1817,"Burlington",,"NJ","United States","p"
"Malus domestica","Apple","Mann ","October","October",1850,"Granby",,"NY","United States","fsp"
"Malus domestica","Apple","Mary Reid","August","August","early 1900s",,"Caswell County","NC","United States",
"Malus domestica","Apple","Mattamuskeet","September","October",1853,,"Hyde County","NC","United States","sp"
"Malus domestica","Apple","May","May","June","middle ages",,,,,"p"
"Malus domestica","Apple","McIntosh","September","September",1820,,,"Ontario","Canada","f"
"Malus domestica","Apple","McLean","August","September",,,"Iredell County","NC","United States",
"Malus domestica","Apple","Means Seedling","September","October","mid 1900s","Dunnville",,"KY","United States","fs"
"Malus domestica","Apple","Milam","September","October",1749,,"Madison County","VA","United States","s"
"Malus domestica","Apple","Miles Stadler","September","September","Early 1900s",,"Stokes County",,"United States",
"Malus domestica","Apple","Mississippi Pippin","September","September","pre-civil war","Buckeye",,"WV","United States",
"Malus domestica","Apple","Missouri Pippin","October","November",1854,,"Johnson County","MO","United States","fs"
"Malus domestica","Apple","Mitchell","October","November","late 1800s",,"Logan County","WV","United States","fp"
"Malus domestica","Apple","Mitchell Sweet","late August","September","late 1800s",,"Alexander County","NC","United States",
"Malus domestica","Apple","Mongolian","September","September","early 1900s",,"Wilkes County","NC","United States",
"Malus domestica","Apple","Morgan's Christmas","September","September",1880,"Otter Creek",,"NC","United States",
"Malus domestica","Apple","Mother","August","September","early 1800s","Bolton",,"MA","United States","fy"
"Malus domestica","Apple","Mother Bud","August","September",,,"Avery County","NC","United States","fp"
"Malus domestica","Apple","Mountain Beauty","December","January",1855,"Keswick Depot",,"VA","United States",
"Malus domestica","Apple","Mountain Boomer","August","September",1900,,,"VA","United States","f"
"Malus domestica","Apple","Mountain Rose","September","September",,,"Wilkes County","NC","United States",
"Malus domestica","Apple","Mrs. Bryan","August","September","1870s","Dillon",,"GA","United States",
"Malus domestica","Apple","Munson Sweet","August","August",1849,,,"MA","United States",
"Malus domestica","Apple","Muskmelon Sweet","late September","October","early 1900s","Fries",,"VA","United States","f"
"Malus domestica","Apple","Myers’ Royal Limbertwig",,,,,,,"United States","fy"
"Malus domestica","Apple","Newtown Pippin","October","October",1666,"Long Island",,"NY","United States","fsyp"
"Malus domestica","Apple","Nickajack","October","October",1858,,"Macon County","NC","United States","s"
"Malus domestica","Apple","North Carolina Keeper","September","October",1886,,"Davidson County","NC","United States","s"
"Malus domestica","Apple","Northern Spy","October","October",1800,"East Bloomsfield",,"NY","United States","fsp"
"Malus domestica","Apple","Northwestern Greening","October","October",1872,,"Waupaca County","WI","United States","sp"
"Malus domestica","Apple","Notley P. No.1","October","November",1855,"Spruce Pines",,"NC","United States","f"
"Malus domestica","Apple","Old English Milam","August","August","Early 1900s","Shenandoah",,"VA","United States",
"Malus domestica","Apple","Oliver","September","October","early 1800s",,"Washington County","AR","United States","fs"
"Malus domestica","Apple","Old Fashioned Limbertwig",,,,,,,"United States","fsyp"
"Malus domestica","Apple","Ooten","late August","late August",1895,,"Mingo County","WV","United States","fp"
"Malus domestica","Apple","Opalescent","August","September","1800s",,"Barry County","MI","United States","f"
"Malus domestica","Apple","Ophir","August","September","early 1900s","Ophir",,"NC","United States","fp"
"Malus domestica","Apple","Ortley","October","October",1817,,,"NJ","United States",
"Malus domestica","Apple","Ozark Beauty","August","September",1970,"Missouri",,,"United States","f"
"Malus domestica","Apple","Parks' Pippin","mid September","mid September","mid 1800s",,"Gilmer County","GA","United States","yp"
"Malus domestica","Apple","Parmer","July","August",,,,"VA","United States","yp"
"Malus domestica","Apple","Paw","early September","early September","early 1900s","Taylorsville",,"NC","United States",
"Malus domestica","Apple","Pennock","October","October",1817,,"Delaware County","PA","United States","s"
"Malus domestica","Apple","Perkins","September","October",,"Statesville",,"NC","United States",
